procedure_name_en,procedure_year,procedure_number,instance_date,actual_worth,procedure_area,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,area_id,area_name_en,actual_area,property_total_value,actual_area_missing
Property Evaluation,2004,354,2004-05-16T00:00:00.000Z,1200000.0,211.35,1,Land,62,Commercial,233,Hor Al Anz,211.34,1200000.0,false
Property Evaluation,2008,645,2008-05-14T00:00:00.000Z,2.8589E7,4829.1,1,Land,62,Commercial,348,Al Goze Fourth,4829.1,2.8589E7,false
Property Evaluation,2010,251,2010-02-10T00:00:00.000Z,2.49588E7,3864.58,1,Land,63,Residential,315,Al Manara,3864.58,2.49588E7,false
Property Evaluation,2010,193,2010-03-02T00:00:00.000Z,2700000.0,1036.05,1,Land,62,Commercial,230,Abu Hail,1036.05,2700000.0,false
Property Evaluation,2006,530,2006-06-06T00:00:00.000Z,6000000.0,136.29,1,Land,62,Commercial,367,Al Suq Al Kabeer,136.29,6000000.0,false
Property Evaluation,2009,114,2009-02-05T00:00:00.000Z,1.37904515E8,7321.0,1,Land,62,Commercial,371,Al Safouh Second,14594.68,1.37904515E8,false
Property Evaluation,2010,1117,2010-07-07T00:00:00.000Z,8960000.0,1040.51,1,Land,62,Commercial,234,Hor Al Anz East,1040.51,8960000.0,false
Property Evaluation,2010,1396,2010-09-29T00:00:00.000Z,3.8048E7,6094.44,1,Land,62,Commercial,305,AL QUSAIS,6094.44,3.28E7,false
Property Evaluation,2009,961,2009-11-03T00:00:00.000Z,6460000.0,3530.31,1,Land,63,Residential,396,Al Khawaneej First,3530.32,6460000.0,false
Property Evaluation,2008,985,2008-09-14T00:00:00.000Z,6572400.0,508.83,1,Land,62,Commercial,240,Port Saeed,508.83,6572400.0,false
Property Evaluation,2008,387,2008-03-12T00:00:00.000Z,1.69E7,1570.06,1,Land,18,Parking,341,Trade Center First,1570.06,1.69E7,false
Property Evaluation,2007,470,2007-06-18T00:00:00.000Z,5000000.0,200.58,1,Land,62,Commercial,242,Al Ras,149.94,5000000.0,false
Property Evaluation,2009,1047,2009-11-16T00:00:00.000Z,1.6002E7,2973.27,1,Land,62,Commercial,301,Al Nahda Second,2973.27,1.6002E7,false
Property Evaluation,2008,1130,2008-10-23T00:00:00.000Z,4144000.0,1374.96,1,Land,63,Residential,311,Muhaisanah Third,1374.96,4144000.0,false
Property Evaluation,2003,97,2003-03-02T00:00:00.000Z,5000000.0,303.05,1,Land,62,Commercial,242,Al Ras,303.05,5000000.0,false
Property Evaluation,2011,784,2011-05-30T00:00:00.000Z,1.76256E7,682.28,1,Land,62,Commercial,238,Al Dhagaya,682.56,1.76256E7,false
Property Evaluation,2011,486,2011-04-05T00:00:00.000Z,900000.0,225.66,1,Land,63,Residential,233,Hor Al Anz,225.66,900000.0,false
Property Evaluation,2011,640,2011-05-04T00:00:00.000Z,2.99285E7,3972.07,1,Land,63,Residential,466,Wadi Al Safa 4,3972.07,2.99285E7,false
Property Evaluation,2011,642,2011-05-04T00:00:00.000Z,7.2E7,13378.03,1,Land,63,Residential,313,Al Saffa First,13719.27,7.2E7,false
Property Evaluation,2011,647,2011-05-12T00:00:00.000Z,2500000.0,910.45,1,Land,63,Residential,364,Al Wasl,910.45,2500000.0,false
Property Evaluation,2010,1717,2010-12-27T00:00:00.000Z,1200000.0,122.89,3,Unit,60,Flat,330,Marsa Dubai,122.89,1200000.0,false
Property Evaluation,2009,195,2009-02-23T00:00:00.000Z,8.0E7,3716.12,1,Land,62,Commercial,234,Hor Al Anz East,3716.12,8.0E7,false
Property Evaluation,2003,272,2003-05-28T00:00:00.000Z,1100000.0,938.32,1,Land,63,Residential,234,Hor Al Anz East,938.32,1100000.0,false
Property Evaluation,2007,389,2007-05-24T00:00:00.000Z,8000000.0,391.68,1,Land,62,Commercial,367,Al Suq Al Kabeer,391.68,8000000.0,false
Property Evaluation,2007,768,2007-11-15T00:00:00.000Z,1.4E7,2787.09,1,Land,63,Residential,232,Mirdif,2787.09,1.4E7,false
Property Evaluation,2006,190,2006-02-25T00:00:00.000Z,1.0E8,6466.05,1,Land,62,Commercial,271,Al Karama,6466.05,1.0E8,false
Property Evaluation,2011,899,2011-06-20T00:00:00.000Z,1.0E7,2322.58,1,Land,62,Commercial,355,Al Nahda First,2322.58,1.0E7,false
Property Evaluation,2005,259,2005-05-01T00:00:00.000Z,3.984E7,18506.28,1,Land,63,Residential,360,Muhaisanah Second,2643.74,3.984E7,false
Property Evaluation,2007,464,2007-06-18T00:00:00.000Z,1.8E7,3716.12,1,Land,63,Residential,303,Um Suqaim First,3716.12,1.8E7,false
Property Evaluation,2007,160,2007-03-04T00:00:00.000Z,2000000.0,929.03,1,Land,63,Residential,232,Mirdif,929.03,2000000.0,false
Property Evaluation,2005,178,2005-03-29T00:00:00.000Z,2.22717E7,1217.12,1,Land,62,Commercial,362,Naif,1438.42,2.22717E7,false
Property Evaluation,2006,211,2006-03-01T00:00:00.000Z,800000.0,232.26,1,Land,63,Residential,382,Al Waheda,232.25,800000.0,false
Property Evaluation,2005,742,2005-11-14T00:00:00.000Z,2.8E7,2289.13,1,Land,62,Commercial,247,Al Khabeesi,2289.13,2.8E7,false
Property Evaluation,2006,857,2006-10-19T00:00:00.000Z,5000000.0,936.0,1,Land,63,Residential,318,Jumeirah Third,936.0,5000000.0,false
Property Evaluation,2007,401,2007-05-29T00:00:00.000Z,2700000.0,227.61,1,Land,63,Residential,276,Al Bada,227.61,2700000.0,false
Property Evaluation,2007,486,2007-06-20T00:00:00.000Z,6000000.0,220.64,1,Land,63,Residential,266,Al Satwa,221.79,6000000.0,false
Property Evaluation,2011,870,2011-06-15T00:00:00.000Z,2.34728E7,1677.46,1,Land,62,Commercial,367,Al Suq Al Kabeer,1677.46,2.34728E7,false
Property Evaluation,2010,1227,2010-08-17T00:00:00.000Z,5.6816E7,6597.97,1,Land,63,Residential,276,Al Bada,6597.97,5.6816E7,false
Property Evaluation,2010,337,2010-02-25T00:00:00.000Z,8144100.0,7566.11,1,Land,65,Industrial,309,Al Goze Industrial Third,7566.12,8144100.0,false
Property Evaluation,2008,258,2008-03-03T00:00:00.000Z,2.3E7,1858.06,1,Land,6,Labor Camp,438,Al Ttay,1858.06,2.3E7,false
Property Evaluation,2011,309,2011-03-07T00:00:00.000Z,1.5E7,929.03,1,Land,62,Commercial,276,Al Bada,929.03,1.5E7,false
Property Evaluation,2011,201,2011-03-22T00:00:00.000Z,1.7E8,11287.71,1,Land,63,Residential,234,Hor Al Anz East,11287.72,1.7E8,false
Property Evaluation,2004,437,2004-06-14T00:00:00.000Z,675720.0,1046.27,1,Land,63,Residential,264,Nad Al Hamar,1046.27,675720.0,false
Property Evaluation,2010,506,2010-04-13T00:00:00.000Z,5.5E7,5409.93,1,Land,63,Residential,317,Jumeirah First,5409.93,5.5E7,false
Property Evaluation,2005,731,2005-11-09T00:00:00.000Z,5.0E7,552.03,1,Land,62,Commercial,362,Naif,552.14,5.0E7,false
Property Evaluation,2009,339,2009-03-25T00:00:00.000Z,2000000.0,1858.06,1,Land,64,Agricultural,345,Al Warsan Third,1858.06,2000000.0,false
Property Evaluation,2011,1287,2011-09-28T00:00:00.000Z,2173500.0,576.93,1,Land,63,Residential,303,Um Suqaim First,576.93,2173500.0,false
Property Evaluation,2010,454,2010-03-21T00:00:00.000Z,4.91085E7,2607.04,1,Land,62,Commercial,255,Rega Al Buteen,2607.05,4.91085E7,false
Property Evaluation,2006,678,2006-07-24T00:00:00.000Z,1.80645E7,5594.15,1,Land,65,Industrial,319,Ras Al Khor Industrial Second,5594.16,1.80645E7,false
Property Evaluation,2004,561,2004-08-21T00:00:00.000Z,1.2E7,562.06,1,Land,62,Commercial,362,Naif,562.06,1.2E7,false
Property Evaluation,2008,912,2008-08-17T00:00:00.000Z,2.8368E7,1317.74,1,Land,62,Commercial,368,Al Barsha First,1317.74,2.8368E7,false
Property Evaluation,2006,356,2006-04-18T00:00:00.000Z,1800000.0,455.22,1,Land,63,Residential,234,Hor Al Anz East,455.22,1800000.0,false
Property Evaluation,2011,1631,2011-12-08T00:00:00.000Z,5600000.0,1041.1,3,Unit,42,Office,390,Burj Khalifa,406.99,5600000.0,false
Property Evaluation,2011,1735,2011-12-26T00:00:00.000Z,1.51449E7,4690.02,1,Land,62,Commercial,317,Jumeirah First,3014.98,1.51449E7,false
Property Evaluation,2012,172,2012-02-22T00:00:00.000Z,3200000.0,840.77,1,Land,63,Residential,382,Al Waheda,840.77,3200000.0,false
Property Evaluation,2012,332,2012-03-08T00:00:00.000Z,950000.0,119.53,3,Unit,60,Flat,467,Wadi Al Safa 5,119.53,640000.0,false
Property Evaluation,2012,950,2012-06-05T00:00:00.000Z,1.3772E7,1279.46,1,Land,62,Commercial,244,Al Murqabat,1279.44,1.3772E7,false
Property Evaluation,2012,999,2012-06-19T00:00:00.000Z,3608010.0,1457.37,1,Land,62,Commercial,297,Al Warqa First,1457.37,3608010.0,false
Property Evaluation,2012,1792,2012-10-08T00:00:00.000Z,900000.0,84.36,3,Unit,60,Flat,330,Marsa Dubai,84.36,900000.0,false
