"procedure_id","procedure_name_ar","procedure_name_en","procedure_year","procedure_number","instance_date","actual_worth","row_status_code","procedure_area","property_type_id","property_type_ar","property_type_en","property_sub_type_id","property_sub_type_ar","property_sub_type_en","area_id","area_name_ar","area_name_en","actual_area","property_total_value"
"24","تقييم عقار","Property Evaluation","2005","254","30-04-2005","9750000.00","COMPLETED","696.77","1","ارض","Land","62","تجارية","Commercial","239","البراحه","Al Baraha","696.77","9750000.00"
"24","تقييم عقار","Property Evaluation","2009","261","16-03-2009","39883500.00","COMPLETED","2470.20","1","ارض","Land","62","تجارية","Commercial","368","البرشاء الاولى","Al Barsha First","2470.00","39883500.00"
"24","تقييم عقار","Property Evaluation","2004","268","18-04-2004","4000000.00","COMPLETED","4455.35","1","ارض","Land","11","مخازن او مستودعات","Warehouse","319","راس الخور الصناعيه الثانيه","Ras Al Khor Industrial Second","4455.35","4000000.00"
"24","تقييم عقار","Property Evaluation","2006","272","22-03-2006","3000000.00","COMPLETED","1393.55","1","ارض","Land","63","سكنية","Residential","369","البرشاء الثالثه","Al Barsha Third","1393.55","3000000.00"
"24","تقييم عقار","Property Evaluation","2005","275","08-05-2005","26208000.00","COMPLETED","4869.60","1","ارض","Land","65","صناعية","Industrial","378","القرهود","Al Garhoud","4869.61","26208000.00"
"24","تقييم عقار","Property Evaluation","2008","276","03-03-2008","23500000.00","COMPLETED","1858.06","1","ارض","Land","6","سكن عمال","Labor Camp","438","الطي","Al Ttay","1858.06","23500000.00"
"24","تقييم عقار","Property Evaluation","2007","279","10-04-2007","4500000.00","COMPLETED","111.20","1","ارض","Land","62","تجارية","Commercial","238","الضغايه","Al Dhagaya","111.20","4500000.00"
"24","تقييم عقار","Property Evaluation","2005","285","09-05-2005","2170000.00","COMPLETED","1393.55","1","ارض","Land","63","سكنية","Residential","393","البرشاء الثانيه","Al Barsha Second","1393.55","2170000.00"
"24","تقييم عقار","Property Evaluation","2006","285","28-03-2006","4500000.00","COMPLETED","1393.55","1","ارض","Land","63","سكنية","Residential","314","الصفا الثانيه","Al Saffa Second","1393.55","4500000.00"
"24","تقييم عقار","Property Evaluation","2005","290","11-05-2005","4000000.00","COMPLETED","621.99","1","ارض","Land","62","تجارية","Commercial","362","نايف","Naif","622.02","4000000.00"
"24","تقييم عقار","Property Evaluation","2005","292","11-05-2005","3000000.00","COMPLETED","334.45","1","ارض","Land","62","تجارية","Commercial","367","السوق الكبير","Al Suq Al Kabeer","334.46","3000000.00"
"24","تقييم عقار","Property Evaluation","2006","293","02-04-2006","5000000.00","COMPLETED","310.85","1","ارض","Land","63","سكنية","Residential","233","هور العنز","Hor Al Anz","310.85","5000000.00"
